Company,Price,Price Extended Hours,P/E,Market Cap,Ticker,Open,Previous Close,52 Wk High,52 Wk Low,Industry,Shares Outstanding,Volume,Volume Average,Change,Change %,Change % Extended Hours,Change Extended Hours,Date
,38.65,38.89,6.3085,158039850000.0,INTC,38.56,37.93,58.415,37.54,Semiconductors & Semiconductor Equipment,4089000000.0,37652256.0,34801197.0,0.72,0.018982000000000002,0.00621,0.24,2022-06-24
,378.54,382.9,41.4228,102896100000.0,INTU,370.39,364.78,716.86,339.36,Financial Technology (Fintech) & Infrastructure,282077000.0,1830498.0,2183737.0,13.76,0.037721,0.011517999999999999,4.36,2022-06-24
,44.05,44.28,12.6968,16326220664.0,IP,44.25,43.62,60.3451,40.45,Containers & Packaging,370629300.0,4246287.0,3047794.0,0.43,0.009858,0.005221,0.23,2022-06-24
,28.05,28.05,10.8612,11042280810.0,IPG,28.12,27.78,39.98,27.535,Media & Publishing,393664200.0,3592395.0,3394303.0,0.27,0.009719,0.0,0.0,2022-06-24
,92.35,92.35,17.6099,4790438304.0,IPGP,91.92,91.9,220.51,90.49,Electronic Equipment & Parts,51872640.0,668741.0,610389.0,0.45,0.004897,0.0,0.0,2022-06-24
,202.13,199.22,36.2237,38258964270.0,IQV,204.1,200.88,285.61,195.57,Biotechnology & Medical Research,189279000.0,1234038.0,989748.0,1.25,0.006222999999999999,-0.014397,-2.91,2022-06-24
,44.56,44.56,34.1244,18088236344.0,IR,44.19,43.77,62.64,41.6,"Machinery, Equipment & Components",405929900.0,2754555.0,3218667.0,0.79,0.018049,0.0,0.0,2022-06-24
,47.97,47.97,30.8186,13938239952.0,IRM,47.79,47.28,58.61,41.67,Residential & Commercial REIT,290561600.0,1746146.0,1621444.0,0.69,0.014594000000000001,0.0,0.0,2022-06-24
,196.13,198.5,29.125,70402138345.0,ISRG,194.0,191.1,369.69,188.81,Healthcare Equipment & Supplies,358956500.0,2409501.0,1948975.0,5.03,0.026320999999999997,0.012084,2.37,2022-06-24
,235.74,235.74,24.7935,18986275647.0,IT,238.8,234.6,368.995,228.2,Software & IT Services,80539050.0,532211.0,578940.0,1.14,0.004859,0.0,0.0,2022-06-24
,186.41,186.01,21.8523,58056089630.0,ITW,187.12,185.93,249.8121,184.335,Consumer Goods Conglomerates,311443000.0,1304289.0,1070351.0,0.48,0.0025819999999999997,-0.0021460000000000003,-0.4,2022-06-24
,16.42,16.65,5.705,7471518710.0,IVZ,16.43,16.24,29.255,15.82,Investment Banking & Investment Services,455025500.0,4523789.0,3694157.0,0.18,0.011084,0.014007,0.23,2022-06-24
,124.68,125.19,43.2124,15990940000.0,J,125.67,124.32,150.32,114.11,Construction & Engineering,128627300.0,457154.0,611297.0,0.36,0.002896,0.00409,0.51,2022-06-24
,161.52,161.85,20.0236,16924614768.0,JBHT,162.72,161.42,218.18,155.11,Freight & Logistics Services,104783400.0,646411.0,846653.0,0.1,0.0006194999999999999,0.002043,0.33,2022-06-24
,49.86,49.99,28.7465,34686051354.0,JCI,50.04,49.6,81.77,49.085,"Machinery, Equipment & Components",695668900.0,3772997.0,4421068.0,0.26,0.005242,0.002607,0.13,2022-06-24
,179.27,179.27,36.3582,12904550000.0,JKHY,178.47,177.11,205.37,147.5,Software & IT Services,72861810.0,639582.0,458482.0,2.16,0.012196,0.0,0.0,2022-06-24
,169.99,171.5,22.6546,447312025980.0,JNJ,169.64,168.19,186.69,155.72,Pharmaceuticals,2631402000.0,7796330.0,6916308.0,1.8,0.010702,0.008883,1.51,2022-06-24
,28.58,28.12,27.6444,9234066532.0,JNPR,28.51,28.32,38.14,26.12,Communications & Networking,323095400.0,3352813.0,3933265.0,0.26,0.009181,-0.016094999999999998,-0.46,2022-06-24
,115.41,116.3,8.4642,338965055910.0,JPM,115.62,114.06,172.96,113.1683,Banking Services,2937051000.0,14083548.0,13173511.0,1.35,0.011836,0.007712,0.89,2022-06-24
,67.8,67.4,15.2214,22907762280.0,K,68.47,68.34,75.56,59.54,Food & Tobacco,337872600.0,2314176.0,2874913.0,-0.54,-0.007902,-0.0059,-0.4,2022-06-24
,17.74,17.96,7.1273,16542033765.0,KEY,17.74,17.54,27.17,17.12,Banking Services,932470900.0,14413880.0,10136245.0,0.2,0.011403000000000002,0.012401,0.22,2022-06-24
,138.47,136.02,24.4518,24917108773.0,KEYS,136.72,135.17,209.08,127.93,"Machinery, Equipment & Components",179945900.0,829563.0,1045974.0,3.3,0.024413999999999998,-0.017693,-2.45,2022-06-24
,36.18,36.28,45.2956,44282583360.0,KHC,36.45,36.14,44.87,32.785,Food & Tobacco,1223952000.0,6870177.0,10413015.0,0.04,0.0011070000000000001,0.002764,0.1,2022-06-24
,19.31,19.3,11.599,11933711308.0,KIM,19.4,19.2,26.565,19.0,Residential & Commercial REIT,618006800.0,7845395.0,4996276.0,0.11,0.005729,-0.0005179000000000001,-0.01,2022-06-24
,323.79,325.5,15.3577,48320800650.0,KLAC,322.39,316.47,457.12,287.44,Semiconductors & Semiconductor Equipment,149235000.0,1214694.0,1297568.0,7.32,0.02313,0.005281,1.71,2022-06-24
,122.41,122.41,23.8038,41243050455.0,KMB,123.91,123.31,145.79,117.32,Personal & Household Products & Services,336925500.0,1784574.0,1623296.0,-0.9,-0.007299,0.0,0.0,2022-06-24
,17.6,17.74,39.5368,39907507200.0,KMI,17.97,17.89,20.2,15.0124,Oil & Gas Related Equipment and Services,2267472000.0,18043610.0,16429565.0,-0.29,-0.01621,0.007955,0.14,2022-06-24
,91.54,91.28,12.9044,14662126572.0,KMX,90.88,89.79,155.98,85.36,Specialty Retailers,160171800.0,1115012.0,1736871.0,1.75,0.01949,-0.0028399999999999996,-0.26,2022-06-24
,59.67,60.0,24.9811,258671180430.0,KO,60.0,59.23,67.2,52.28,Beverages,4335029000.0,19684697.0,19881792.0,0.44,0.007429,0.00553,0.33,2022-06-24
,50.88,52.3,23.1812,37028052288.0,KR,50.63,50.39,62.78,36.77,Food & Drug Retailing,727752600.0,6176992.0,6441086.0,0.49,0.009724,0.027909000000000003,1.42,2022-06-24
,58.91,58.8,9.0943,14407170000.0,L,59.15,58.54,68.2,51.35,Insurance,246108000.0,1373402.0,1111602.0,0.37,0.00632,-0.001867,-0.11,2022-06-24
,98.79,98.79,19.2654,13500848859.0,LDOS,98.56,97.91,111.12,81.07,Software & IT Services,136662100.0,758797.0,661105.0,0.88,0.008988000000000001,0.0,0.0,2022-06-24
,35.11,36.36,11.6025,4689302133.0,LEG,34.57,34.37,52.4402,33.8,Household Goods,133560300.0,1765793.0,1032763.0,0.74,0.02153,0.035602,1.25,2022-06-24
,68.97,69.5,5.4139,20016520000.0,LEN,69.83,69.14,117.54,67.14,Homebuilding & Construction Supplies,295490200.0,3134898.0,2400947.0,-0.17,-0.0024590000000000002,0.007685,0.53,2022-06-24
,218.96,218.96,9.819,20297592000.0,LH,215.18,213.86,317.17,212.4,Healthcare Providers & Services,92700000.0,885402.0,868102.0,5.1,0.023847,0.0,0.0,2022-06-24
,226.7,232.32,24.4429,43724671820.0,LHX,227.87,226.92,279.71,200.705,Aerospace & Defense,192874600.0,858430.0,936426.0,-0.22,-0.0009695,0.02479,5.62,2022-06-24
,299.99,300.01,38.083,150812382753.0,LIN,299.6,295.62,352.18,267.51,Chemicals,502724700.0,1979468.0,1984495.0,4.37,0.014782,6.667e-05,0.02,2022-06-24
,48.75,48.75,13.0368,13788103875.0,LKQ,48.545,48.52,60.4299,42.36,Automobiles & Auto Parts,282832900.0,1496797.0,1820548.0,0.23,0.004739999999999999,0.0,0.0,2022-06-24
,292.99,294.89,43.1524,278387231905.0,LLY,291.6,290.79,324.08,217.0,Pharmaceuticals,950159500.0,1970129.0,3100002.0,2.2,0.007566000000000001,0.0064849999999999994,1.9,2022-06-24
,414.1,415.25,18.3767,110745700000.0,LMT,417.56,416.17,479.99,324.2278,Aerospace & Defense,266107000.0,1241740.0,1198572.0,-2.07,-0.004974,0.002777,1.15,2022-06-24
,49.09,49.95,6.7685,8440873321.0,LNC,49.39,48.32,77.57,47.37,Insurance,171946900.0,2111319.0,1690606.0,0.77,0.015934999999999998,0.017519,0.86,2022-06-24
,55.74,55.74,20.5112,13980355638.0,LNT,56.01,55.61,65.37,54.46,Electrical Utilities & IPPs,250813700.0,2053491.0,2233871.0,0.13,0.0023380000000000002,0.0,0.0,2022-06-24
